,U.S. Caribbean sea surface temperature,U.S. Caribbean sea surface temperature,U.S. Caribbean sea surface temperature
,Degrees Celsius,Degrees Celsius,Degrees Celsius
,monthly mean,monthly minimum,monthly maximum
198511,27.3441223571069,26.6921519025972,28.1216455532026
198512,26.5973662738169,26.1726581959785,27.1427848671056
198601,26.0318374758401,25.7587341839754,26.256329186355
198602,25.7152124891229,25.3327849182902,26.1775949212569
198603,25.7921274052001,25.506202480461,26.0055696270134
198604,26.5876919943572,25.8307595554786,27.3970885457872
198605,27.0414128278216,26.2917722146722,27.5754430505294
198606,27.3733797524046,26.8941772316076,28.0906329336046
198607,27.7198325913018,26.6284809595422,28.3707595535471
198608,28.1054961016442,27.1007594579383,28.6769619953783
198609,28.1860548582761,26.5088607691511,28.8788606909257
198610,28.2505144849024,27.711772097817,28.5922784443143
198611,27.8134346072684,27.3862025103992,28.4564555928677
198612,26.7159207563295,26.2307594154454,27.4805062692377
198701,26.2126337373047,25.933164572414,26.4596202222607
198702,26.1809448635384,25.7317721209949,26.5112657909152
198703,26.118685183013,25.6703797835338,26.5516455203672
198704,26.8154641276171,26.2543037752562,27.5935444167898
198705,27.5989995880875,26.8324050179011,28.6072151811817
198706,27.909004210621,27.2526583128338,28.475316566757
198707,27.991486327801,27.4689873321147,28.4959494675262
198708,28.4604287457106,27.6554431190974,29.2437974953953
198709,29.0044261731176,27.9374683476702,29.6745570460452
198710,28.8808207404813,28.3274683167663,29.4311391371715
198711,28.5092742807252,27.6172152652016,29.2725315335431
198712,27.5777705228781,27.0516455927982,28.0225316542613
198801,26.7070191680484,26.2062025190909,27.0044303121446
198802,26.1058140375478,25.691012756734,26.5567088308214
198803,25.9950551055996,25.5998734824265,26.3540505759324
198804,26.6145105305603,25.5846836717823,27.5268353329429
198805,27.6425847169963,27.1421518446524,28.2198734042011
198806,28.0530295384081,27.2667088810402,28.6418986501573
198807,28.4435769638367,27.8237974915323,29.3570885477187
198808,28.1992935984414,27.4755695922465,28.7711392656157
198809,28.3153839803446,27.6987341385853,28.7489872703069
198810,28.2911269879916,27.8592405198496,28.7422784732867
198811,27.8963544370756,27.298101280309,28.4812659010102
